increment,learning_rate,train_samples,val_accuracy,best_epoch,training_time,synthetic_classes,synthetic_samples_per_class,total_synthetic
increment_1,0.0001,2305167,0.84858,50,16412.861716508865,1200,1000,1200000
increment_1,0.0005,2305167,0.84768,524,16409.631390333176,1200,1000,1200000
increment_1,5e-05,2305167,0.84922,53,16385.372455358505,1200,1000,1200000
increment_2,0.0001,3329167,0.84836,58,19209.505692005157,1200,2000,2400000
increment_2,0.0005,3329167,0.84854,749,19236.944593906403,1200,2000,2400000
increment_2,5e-05,3329167,0.84926,104,19201.157418966293,1200,2000,2400000
increment_3,0.0001,4353167,0.84878,424,22141.83713579178,1200,3000,3600000
increment_3,0.0005,4353167,0.84744,839,22141.604284763336,1200,3000,3600000
increment_3,5e-05,4353167,0.84798,50,22152.84517121315,1200,3000,3600000
original,0.0001,1281167,0.84818,11,13295.541430950165,0,0,0
original,0.0005,1281167,0.8457,657,13303.138885498047,0,0,0
original,5e-05,1281167,0.8491,42,13293.99252128601,0,0,0
